,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
93,Florida A&M,27,12,15,.444,-12.17,-6.24,,10,6,,8,0,,4,13,,1824,1984,,70.8,93.3,.387,.238,.487,48.6,41.0,10.3,5.2,.454,18.1,31.2,.246
94,Florida Atlantic,32,17,15,.531,-1.66,-1.25,,8,10,,14,3,,2,12,,2275,2222,,70.2,100.0,.269,.422,.523,51.0,47.6,10.3,5.8,.495,16.4,28.9,.189
95,Florida Gulf Coast,32,10,22,.313,-10.26,-4.30,,7,9,,6,10,,4,12,,1979,2122,,66.8,91.5,.231,.416,.500,49.2,55.8,9.0,12.4,.476,20.0,28.0,.159
96,Florida International,32,19,13,.594,0.90,-1.00,,9,9,,11,3,,6,9,,2455,2319,,73.9,103.4,.292,.416,.548,47.8,52.2,11.8,16.2,.529,17.7,29.5,.190
97,Florida State,31,26,5,.839,17.28,7.64,,16,4,,16,0,,7,5,,2336,2037,,69.7,107.3,.301,.354,.553,51.9,48.5,12.5,15.9,.519,16.3,33.4,.226
98,Florida,31,19,12,.613,14.94,9.10,,11,7,,11,4,,4,7,,2228,2047,,66.3,107.5,.340,.368,.555,52.4,46.5,8.6,11.1,.521,15.5,31.1,.246
99,Fordham,31,9,22,.290,-3.58,-0.45,,2,16,,6,12,,1,8,,1816,1913,,65.2,88.8,.270,.417,.478,47.0,54.3,10.7,9.2,.450,16.9,21.3,.179
100,Fresno State,30,11,19,.367,2.08,3.39,,7,11,,7,7,,4,10,,2075,2068,,65.3,103.8,.305,.490,.532,52.0,52.2,7.4,11.1,.502,16.4,30.5,.214
101,Furman,32,25,7,.781,6.79,-1.55,,15,3,,14,1,,10,5,,2457,2123,,69.3,110.0,.302,.463,.579,47.8,53.9,11.8,8.5,.556,14.7,23.6,.212
102,Gardner-Webb,32,16,16,.500,-5.56,-5.83,,11,7,,7,5,,6,10,,2318,2272,,67.7,104.1,.354,.390,.549,49.7,54.1,9.0,13.7,.518,15.9,27.1,.245
103,George Mason,32,17,15,.531,0.86,1.48,,5,13,,10,7,,3,8,,2148,2168,,67.4,99.2,.344,.345,.511,52.5,45.6,9.0,13.3,.476,17.2,33.1,.238
104,George Washington,32,12,20,.375,-3.99,0.92,,6,12,,7,9,,3,9,,2086,2243,,66.6,96.4,.328,.425,.523,48.3,52.2,7.9,10.1,.490,17.4,23.0,.229
105,Georgetown,32,15,17,.469,10.38,9.60,,5,13,,10,8,,4,7,,2389,2364,,71.6,104.3,.339,.310,.535,52.1,57.0,8.7,11.5,.491,16.3,32.4,.262
106,Georgia Southern,33,20,13,.606,1.69,-0.83,,12,8,,11,4,,8,8,,2494,2332,,73.3,103.1,.364,.400,.537,48.5,46.6,10.7,10.2,.507,15.6,26.6,.246
107,Georgia State,32,19,13,.594,3.09,0.13,,12,8,,12,3,,6,10,,2499,2311,,74.0,104.6,.312,.383,.543,49.7,53.1,10.5,11.2,.508,16.4,31.6,.231
108,Georgia Tech,31,17,14,.548,10.49,9.19,,11,9,,10,6,,6,7,,2126,2059,,70.7,96.3,.345,.299,.529,51.7,54.4,10.0,11.7,.499,20.0,29.4,.233
109,Georgia,32,16,16,.500,8.28,8.06,,5,13,,12,5,,3,9,,2428,2418,,72.0,103.8,.334,.383,.540,51.4,49.3,9.7,8.0,.508,17.3,32.3,.234
110,Gonzaga,33,31,2,.939,22.70,3.13,,15,1,,17,0,,10,1,,2885,2239,,72.5,120.1,.388,.313,.599,56.6,52.5,10.1,9.5,.575,13.2,33.7,.267
111,Grambling,32,17,15,.531,-12.39,-9.79,,11,7,,11,2,,6,12,,2280,2188,,71.8,99.2,.368,.275,.528,51.9,49.5,10.4,11.4,.495,17.4,30.5,.251
112,Grand Canyon,30,13,17,.433,-6.32,-4.05,,8,8,,8,8,,4,6,,2116,2191,,67.8,103.2,.372,.330,.548,48.2,48.0,7.0,3.7,.506,15.1,23.0,.278
113,Green Bay,33,17,16,.515,-4.80,-2.80,,11,7,,10,5,,7,10,,2694,2643,,75.3,107.3,.317,.324,.555,48.5,55.2,9.1,8.1,.519,14.5,26.8,.240
114,Hampton,34,15,19,.441,-12.02,-5.80,,8,10,,11,5,,3,13,,2635,2693,,71.9,107.0,.405,.317,.546,49.5,53.8,6.9,10.0,.509,14.1,28.2,.283
115,Hartford,33,18,15,.545,-6.79,-6.02,,9,7,,9,8,,9,7,,2201,2203,,69.2,96.0,.309,.401,.519,47.0,55.4,10.5,6.5,.486,17.3,22.9,.217
116,Harvard,29,21,8,.724,3.06,-1.55,,10,4,,11,1,,9,4,,2114,1928,,68.9,104.0,.322,.378,.546,53.4,45.0,9.2,14.1,.516,17.2,30.4,.226
117,Hawaii,30,17,13,.567,-1.27,-2.10,,8,8,,14,6,,3,7,,2057,2016,,68.9,99.1,.315,.380,.522,50.1,55.1,7.9,5.1,.489,16.6,27.8,.222
118,High Point,32,9,23,.281,-16.31,-5.34,,6,12,,6,9,,3,14,,2110,2396,,67.7,96.7,.400,.354,.506,51.3,55.0,7.5,11.9,.463,18.0,32.2,.280
119,Hofstra,34,26,8,.765,3.06,-3.85,,14,4,,10,4,,11,4,,2596,2326,,68.9,110.8,.336,.378,.562,50.8,46.8,10.0,5.7,.520,14.2,30.3,.263
120,Holy Cross,32,3,29,.094,-18.07,-4.26,,2,16,,2,12,,0,16,,2106,2537,,68.9,94.5,.252,.377,.514,47.6,47.0,7.0,7.0,.491,18.3,25.1,.169
121,Houston Baptist,29,4,25,.138,-17.41,-3.62,,4,16,,2,9,,2,15,,2323,2723,,78.0,102.3,.380,.330,.547,49.4,46.4,7.2,5.1,.503,18.6,32.2,.284
122,Houston,31,23,8,.742,16.46,6.30,,13,5,,14,2,,6,6,,2241,1926,,66.8,107.8,.329,.343,.519,56.5,50.8,7.7,15.1,.480,14.6,38.7,.240
123,Howard,33,4,29,.121,-21.88,-7.98,,1,15,,2,13,,1,14,,2306,2682,,71.9,96.0,.331,.374,.518,45.0,54.8,7.5,9.2,.485,17.9,26.4,.230
124,Idaho State,30,8,22,.267,-8.62,-1.62,,4,16,,4,9,,3,13,,2093,2198,,67.7,101.8,.349,.331,.539,50.6,46.1,6.7,5.7,.514,17.3,29.3,.229
125,Idaho,32,8,24,.250,-12.07,-2.10,,4,16,,5,10,,2,12,,2086,2329,,69.3,93.8,.301,.260,.513,49.7,49.0,8.0,6.1,.484,18.1,24.4,.203
126,Illinois-Chicago,35,18,17,.514,-3.74,-3.80,,10,8,,11,7,,5,9,,2412,2407,,70.5,97.4,.294,.377,.533,51.3,56.1,8.1,12.0,.507,19.5,27.9,.202
127,Illinois State,31,10,21,.323,-2.70,1.97,,5,13,,9,6,,1,11,,2050,2171,,68.4,96.3,.252,.416,.525,48.9,50.4,8.4,7.3,.498,18.6,25.6,.179
128,Illinois,31,21,10,.677,15.27,9.84,,13,7,,15,3,,6,6,,2239,2024,,67.5,106.6,.332,.309,.528,55.3,50.7,7.2,7.3,.491,15.0,35.8,.241
129,Incarnate Word,31,9,22,.290,-18.57,-6.85,,6,14,,7,9,,2,13,,2050,2292,,69.2,94.0,.321,.358,.511,47.1,52.6,10.3,6.9,.471,19.1,27.6,.236
130,Indiana State,30,18,12,.600,3.22,1.81,,11,7,,12,1,,4,8,,2052,2004,,66.2,102.9,.329,.343,.549,49.2,51.6,8.3,10.0,.517,15.5,23.5,.236
131,Indiana,32,20,12,.625,15.07,10.35,,9,11,,15,4,,2,8,,2286,2135,,68.7,103.6,.392,.296,.528,54.0,51.0,8.1,12.6,.493,15.7,32.4,.266
